routeNumber,runNumber,stopSequenceNr,stopId,stopNumber,stopNameShort,arrivalScheduled,arrivalActual,departureActual,mileage,vehicleId,vehicleNumber,latitude,longitude
2,1,13,1502,2556,STAU,32292,32351,32406,329231794,834,3026,8.53029722222222,47.3735897222222
2,4,21,2244,1364,KAPP,32298,32282,32305,1438891813,961,2062,8.49511694444444,47.3850619444444
2,11,17,2590,615,BURK,32304,32413,32431,333232872,840,3033,8.54176583333333,47.3666086111111
9,4,32,2482,1587,LUCH,32310,32366,32389,990975678,963,2109,8.58662888888889,47.4068927777778
2,9,22,2615,1286,HOES,32316,32366,32382,337383852,968,3029,8.55483611111111,47.3578836111111
3,9,17,1305,1472,KUNS,32322,32412,32433,311942050,847,3040,8.54916722222222,47.3704416666667
2,2,8,1535,48,ALBP,32328,32329,32351,1519630631,700,2049,8.51051388888889,47.3781736111111
2,3,2,2818,137,BACH,32334,32384,32396,350016084,837,3030,8.48299583333333,47.3889858333333
2,8,1,2788,3041,BTIE,32340,32348,32348,1462646480,714,2065,8.56126166666667,47.3499594444444
2,5,16,2248,1579,LOCH,32346,32285,32299,360979245,825,3016,8.51772777777778,47.3753444444444
4,6,11,2287,1557,LIMM,32352,32393,32419,364771500,838,3031,8.53227916666667,47.384995
4,1,10,2774,2030,RATH,32358,32411,32423,374164600,824,3015,8.54288833333333,47.3722288888889
4,4,21,2612,1456,KRES,32364,32377,32390,1445068379,711,2061,8.54991055555556,47.3629144444444
2,6,12,2657,2396,SIHS,32370,32553,32564,1460079008,720,2071,8.53512555555556,47.37206
7,9,19,2035,2054,RAUG,32376,32442,32458,1037021713,759,2116,8.5383025,47.3732980555556
2,3,3,2535,1570,LIND,32382,32438,32470,350016375,837,3030,8.48684527777778,47.3887352777778
4,10,20,2893,6759,SBAU,32388,32449,32469,345697648,836,3028,8.5201875,47.3882838888889
2,4,22,2770,1026,GRIM,32394,32379,32393,1438892238,961,2062,8.49031888888889,47.3868955555556
2,8,2,2651,2907,WILD,32400,32407,32420,1462646817,714,2065,8.5588925,47.3531038888889
2,2,9,2250,3019,ZYPR,32406,32433,32454,1519630959,700,2049,8.51399138888889,47.3765941666667
4,5,16,2768,2113,RBRU,32412,32420,32436,366647118,816,3007,8.54299416666667,47.3741438888889
2,5,17,2250,3019,ZYPR,32418,32343,32357,360979556,825,3016,8.51399138888889,47.3765941666667
4,1,11,2768,2113,RBRU,32424,32465,32477,374164812,824,3015,8.54299416666667,47.3741438888889
8,5,15,1406,1278,HOEL,32430,32492,32499,1537312243,699,2048,8.563195,47.3657002777778
3,2,4,2871,1252,HUBE,32436,32437,32447,1496100975,713,2064,8.49953694444445,47.3768897222222
6,8,7,1895,416,BSTR,32442,32470,32522,1001188284,748,2102,8.53957,47.3763352777778
3,1,10,1306,478,BEZI,32448,32431,32456,329775826,848,3041,8.52586861111111,47.3739463888889
2,3,4,2770,1026,GRIM,32454,32510,32526,350016689,837,3030,8.49031888888889,47.3868955555556
2,1,14,2657,2396,SIHS,32460,32528,32543,329232236,834,3026,8.53512555555556,47.37206
2,4,23,2535,1570,LIND,32466,32447,32467,1438892557,961,2062,8.48684527777778,47.3887352777778
2,2,10,2248,1579,LOCH,32472,32502,32521,1519631274,700,2049,8.51772777777778,47.3753444444444
4,5,17,2774,2030,RATH,32478,32473,32500,366647330,816,3007,8.54288833333333,47.3722288888889
3,6,9,2256,1608,LOEW,32484,32551,32569,1429642900,717,2068,8.537525,47.3760488888889
