agencyid,servicedate,routeid,runid,tripstart,direction,stopsequencenr,stopid,stopnameshort,stopname,vehicletypeshort,vehicletype,vehiclenumber,passengerboardingtrip,passengeralightingtrip,passengerdifferencetrip,passengerboardingstop,passengeralightingstop,passengerloadstop,year,month,day
VBZ,20121001,2,06,29160,1,19,1845,OPER,"Zürich, Opernhaus",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,332,332,0,37,17,100,2012,10,1
VBZ,20121001,2,06,29160,1,20,1456,KRES,"Zürich, Kreuzstrasse",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,332,332,0,6,16,90,2012,10,1
VBZ,20121001,2,06,29160,1,21,832,FELD,"Zürich, Feldeggstrasse",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,332,332,0,3,34,59,2012,10,1
VBZ,20121001,2,06,29160,1,22,1286,HOES,"Zürich, Höschgasse",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,332,332,0,0,18,41,2012,10,1
VBZ,20121001,2,06,29160,1,23,917,FROE,"Zürich, Fröhlichstrasse",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,332,332,0,0,11,30,2012,10,1
VBZ,20121001,2,06,29160,1,24,2907,WILD,"Zürich, Wildbachstrasse",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,332,332,0,1,18,13,2012,10,1
VBZ,20121001,2,06,29160,1,25,3041,BTIE,"Zürich, Bahnhof Tiefenbrunnen",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,332,332,0,0,13,0,2012,10,1
VBZ,20121001,2,06,31440,2,1,3041,BTIE,"Zürich, Bahnhof Tiefenbrunnen",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,228,228,0,13,0,13,2012,10,1
VBZ,20121001,2,06,31440,2,2,2907,WILD,"Zürich, Wildbachstrasse",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,228,228,0,14,0,27,2012,10,1
VBZ,20121001,2,06,31440,2,3,917,FROE,"Zürich, Fröhlichstrasse",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,228,228,0,8,1,34,2012,10,1
VBZ,20121001,2,06,31440,2,4,1286,HOES,"Zürich, Höschgasse",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,228,228,0,16,4,46,2012,10,1
VBZ,20121001,2,06,31440,2,5,832,FELD,"Zürich, Feldeggstrasse",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,228,228,0,10,3,53,2012,10,1
VBZ,20121001,2,06,31440,2,6,1456,KRES,"Zürich, Kreuzstrasse",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,228,228,0,8,4,57,2012,10,1
VBZ,20121001,2,06,31440,2,7,1845,OPER,"Zürich, Opernhaus",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,228,228,0,6,15,48,2012,10,1
VBZ,20121001,2,06,31440,2,8,440,BELL,"Zürich, Bellevue",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,228,228,0,28,14,62,2012,10,1
