tripStart,routeName,routeVLD,runNumber,direction,stopId,stopNameShort,stopName,arrivalScheduled,departureScheduled,departureActual
44880,2,531,1,1,2250,ZYPR,Zürich Zypressenstrasse,45456,45486,45530
44880,2,531,1,1,2248,LOCH,Zürich Lochergut,45522,45552,45595
44880,2,531,1,1,1906,KALK,Zürich Kalkbreite,45612,45654,45692
44880,2,531,1,1,1306,BEZI,Zürich Bezirksgebäude,45690,45732,45774
44880,2,531,1,1,1502,STAU,Zürich Stauffacher,45792,45882,45893
44880,2,531,1,1,2657,SIHS,Zürich Sihlstrasse,45960,46002,46019
44880,2,531,1,1,1528,PARA,Zürich Paradeplatz,46062,46122,46144
44880,2,531,1,1,2228,BOES,Zürich Börsenstrasse,46164,46182,46207
44880,2,531,1,1,2590,BURK,Zürich Bürkliplatz,46254,46290,46298
44880,2,531,1,1,1565,BELL,Zürich Bellevue,46368,46428,46415
44880,2,531,1,1,2104,OPER,Zürich Opernhaus,46476,46512,46518
44880,2,531,1,1,2612,KRES,Zürich Kreuzstrasse,46542,46572,46581
44880,2,531,1,1,2689,FELD,Zürich Feldeggstrasse,46614,46644,46665
44880,2,531,1,1,2615,HOES,Zürich Höschgasse,46686,46716,46730
44880,2,531,1,1,2680,FROE,Zürich Fröhlichstrasse,46764,46794,46816
44880,2,531,1,1,2651,WILD,Zürich Wildbachstrasse,46824,46848,46871
44880,2,531,1,1,2788,BTIE,Zürich Bahnhof Tiefenbrunnen,46890,46890,47213
47190,2,531,1,2,2788,BTIE,Zürich Bahnhof Tiefenbrunnen,47190,47190,47226
47190,2,531,1,2,2651,WILD,Zürich Wildbachstrasse,47250,47280,47290
47190,2,531,1,2,2680,FROE,Zürich Fröhlichstrasse,47310,47340,47347
47190,2,531,1,2,2615,HOES,Zürich Höschgasse,47376,47406,47436
47190,2,531,1,2,2689,FELD,Zürich Feldeggstrasse,47442,47478,47489
47190,2,531,1,2,2612,KRES,Zürich Kreuzstrasse,47520,47544,47556
47190,2,531,1,2,2104,OPER,Zürich Opernhaus,47592,47634,47642
47190,2,531,1,2,1565,BELL,Zürich Bellevue,47718,47772,47765
47190,2,531,1,2,2590,BURK,Zürich Bürkliplatz,47844,47904,47888
47190,2,531,1,2,2228,BOES,Zürich Börsenstrasse,47940,47970,47973
47190,2,531,1,2,1528,PARA,Zürich Paradeplatz,48000,48060,48063
47190,2,531,1,2,2657,SIHS,Zürich Sihlstrasse,48120,48168,48165
47190,2,531,1,2,1502,STAU,Zürich Stauffacher,48240,48330,48334
47190,2,531,1,2,1306,BEZI,Zürich Bezirksgebäude,48384,48426,48442
47190,2,531,1,2,1906,KALK,Zürich Kalkbreite,48462,48498,48521
47190,2,531,1,2,2248,LOCH,Zürich Lochergut,48546,48576,48639
47190,2,531,1,2,2250,ZYPR,Zürich Zypressenstrasse,48618,48648,48694
47190,2,531,1,2,1535,ALBP,Zürich Albisriederplatz,48702,48750,48781
47190,2,531,1,2,2245,LETG,Zürich Letzigrund,48810,48834,48874
47190,2,531,1,2,2253,FREI,Zürich Freihofstrasse,48882,48906,48942
47190,2,531,1,2,2244,KAPP,Zürich Kappeli,48954,48972,49023
47190,2,531,1,2,2770,GRIM,Zürich Grimselstrasse,49044,49062,49110
